uuid,gemini_ok,gemini_error,content_type,content_format,treatment_category,treatment_area,has_treatment_name,has_person,person_type,has_price_info,has_text_overlay,text_overlay_type,professional_score,content_area,instagram_media_uuid,instagram_account_id,media_type,media_source,save_rate,like_rate,eg_rate,quadrant
1.809830156304261e+16,True,,lifestyle,single_visual,skin_care,skin_texture,False,False,,False,True,treatment_explanation,4.0,,1.809830156304261e+16,200113,2.0,feed,0.0201342281879194,0.023489932885906,0.0436241610738255,Q2
1.7883706367818242e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,5.0,,1.7883706367818242e+16,3827,2.0,feed,0.0217391304347826,0.6739130434782609,0.717391304347826,Q1
1.806304921641532e+16,True,,wellness_other,single_visual,none,none,False,False,,False,True,other,3.0,,1.806304921641532e+16,315457,2.0,feed,0.1666666666666666,3.5,3.6666666666666665,Q1
1.8031814593550204e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,3.0,,1.8031814593550204e+16,315457,2.0,feed,0.0847457627118644,3.169491525423729,3.288135593220339,Q1
1.7982306455633694e+16,True,,beauty_tips,single_visual,none,none,False,False,,False,True,other,5.0,,1.7982306455633694e+16,315457,2.0,feed,0.0116731517509727,0.7315175097276264,0.7587548638132295,Q1
1.8044377144430764e+16,True,,product_cosmetic,single_visual,none,other,False,True,lifestyle_model,False,False,,3.0,,1.8044377144430764e+16,315457,2.0,feed,0.1111111111111111,4.222222222222222,4.4,Q1
1.8015031288627444e+16,True,,other,single_visual,none,none,False,False,,False,True,other,3.0,,1.8015031288627444e+16,315457,2.0,feed,0.1081081081081081,8.054054054054054,8.162162162162161,Q1
1.801578024179647e+16,True,,product_cosmetic,single_visual,skin_care,none,False,True,lifestyle_model,False,False,,3.0,,1.801578024179647e+16,315457,2.0,feed,0.145631067961165,2.3398058252427183,2.504854368932039,Q1
1.7987573642270832e+16,True,,campaign_price,single_visual,skin_care,none,False,False,,False,True,price_campaign,5.0,,1.7987573642270832e+16,315457,2.0,feed,0.1692307692307692,2.330769230769231,2.5076923076923077,Q1
1.7949878933087484e+16,True,,product_cosmetic,single_visual,none,none,False,True,lifestyle_model,False,True,other,4.0,,1.7949878933087484e+16,2622,2.0,feed,1.3636363636363635,8.090909090909092,9.454545454545455,Q1
1.7918609690541568e+16,True,,product_cosmetic,ranking_list,none,none,False,False,,False,True,other,4.0,,1.7918609690541568e+16,2622,2.0,feed,0.6301369863013698,1.6986301369863013,2.3424657534246576,Q1
1.7921625695833278e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,treatment_explanation,5.0,,1.7921625695833278e+16,402,2.0,feed,0.1903390914907229,0.5041586692258477,0.7040946896992962,Q1
1.7974262120175952e+16,True,,product_cosmetic,single_visual,skin_care,none,True,False,,False,True,treatment_explanation,5.0,,1.7974262120175952e+16,3827,2.0,feed,0.0175438596491228,0.2105263157894736,0.22807017543859648,Q1
1.7976324874611138e+16,True,,beauty_tips,single_visual,none,none,False,True,lifestyle_model,False,True,other,5.0,,1.7976324874611138e+16,3827,2.0,feed,0.0153846153846153,0.5538461538461539,0.5692307692307692,Q1
