uuid,gemini_ok,error,has_person,has_face,has_text_overlay,professional_score,product_count,background_type,text_amount
17883662073537316,True,,False,False,False,5.0,1.0,white,none
18041774132716823,True,,True,True,False,5.0,3.0,indoor,none
17996352464762785,True,,True,True,True,5.0,1.0,white,few
17925664248269752,True,,True,True,True,5.0,1.0,studio,heavy
17874555414593943,True,,False,False,False,5.0,6.0,white,none
18099046466279418,True,,False,False,True,4.0,10.0,indoor,few
17854759362651162,True,,False,False,True,5.0,4.0,white,heavy
18089724839586639,True,,True,True,False,4.0,5.0,outdoor,none
17914532814359580,True,,False,False,False,5.0,1.0,other,none
18065847272673855,True,,False,False,False,4.0,1.0,indoor,few
18085312832626662,True,,False,False,True,5.0,4.0,white,few
18102749833779943,True,,False,False,False,5.0,10.0,indoor,few
17932297998237135,True,,False,False,True,5.0,1.0,studio,few
17985643358990303,True,,True,True,True,5.0,5.0,indoor,heavy
18072133754239806,True,,False,False,True,5.0,10.0,white,heavy
18071480294646932,True,,True,True,True,5.0,2.0,studio,few
18173199187398517,True,,True,True,False,5.0,2.0,studio,none
18090707089921787,True,,True,True,False,4.0,6.0,outdoor,none
18101122237994097,True,,True,True,True,5.0,2.0,outdoor,heavy
18162487822431356,True,,True,False,False,4.0,5.0,white,none
17948797509127064,True,,False,False,False,4.0,1.0,indoor,none
18059684891448928,True,,True,True,False,5.0,2.0,white,none
17889524361452199,True,,False,False,True,4.0,1.0,indoor,few
18064296521688151,True,,True,True,False,5.0,3.0,studio,none
17929807017250546,True,,False,False,True,5.0,10.0,studio,few
18583191058042383,True,,False,False,True,5.0,2.0,studio,few
18099774637876176,True,,True,True,True,5.0,4.0,white,heavy
18097370537035621,True,,True,True,False,5.0,1.0,indoor,none
18091963930911160,True,,False,False,False,4.0,1.0,white,none
18139474012505514,True,,True,True,True,5.0,3.0,indoor,few
18578777815012165,True,,True,False,False,4.0,4.0,outdoor,none
17985018233969627,True,,False,False,True,5.0,6.0,white,heavy
18110281936642053,True,,True,True,True,5.0,8.0,studio,heavy
18109103689669036,True,,True,True,False,5.0,4.0,white,none
18095621822027501,True,,False,False,False,5.0,5.0,indoor,few
17932883706223607,True,,True,False,False,2.0,3.0,white,none
18387161635094617,True,,False,False,True,5.0,3.0,white,heavy
18114768121737606,True,,True,False,False,4.0,1.0,indoor,none
18100040743960726,True,,False,False,False,5.0,3.0,white,none
18312111610273620,True,,False,False,False,4.0,10.0,white,few
18079258832418370,True,,True,True,False,5.0,4.0,white,none
18127659334514293,True,,True,True,False,5.0,4.0,outdoor,few
18100984031489798,True,,True,False,False,4.0,8.0,indoor,none
18421877203131364,True,,True,True,True,5.0,6.0,white,few
17958571692074354,True,,True,False,False,4.0,4.0,indoor,none
18081941285084249,True,,True,True,False,4.0,1.0,outdoor,none
17885455332379068,True,,False,False,False,5.0,2.0,white,none
17885395638372141,True,,False,False,False,5.0,1.0,studio,none
17937507531033357,True,,False,False,True,5.0,3.0,white,few
17960274612062127,True,,False,False,False,5.0,2.0,white,few
18038718572576775,True,,True,True,False,5.0,3.0,indoor,none
18006838205883532,True,,True,True,True,5.0,2.0,white,few
18403696717179288,True,,False,False,False,5.0,2.0,outdoor,few
17918378013343462,True,,False,False,False,5.0,3.0,studio,none
18336076285218022,True,,False,False,True,5.0,5.0,studio,few
18388827838094597,True,,True,True,False,4.0,2.0,outdoor,none
18106816876926739,True,,False,False,False,5.0,4.0,indoor,few
18046770650527895,True,,True,False,False,4.0,1.0,indoor,none
18132178771558592,True,,False,False,True,5.0,1.0,other,heavy
17884447038372491,True,,True,True,False,5.0,6.0,studio,few
17914060194162303,True,,False,False,True,3.0,3.0,indoor,few
18127466191601947,True,,False,False,False,5.0,3.0,indoor,none
18087845540257106,True,,True,True,False,5.0,6.0,studio,none
18091280704906309,True,,True,True,True,5.0,1.0,studio,heavy
17942471022017970,True,,False,False,True,5.0,8.0,studio,few
18100169735065113,True,,False,False,False,5.0,1.0,studio,none
18099011810008400,True,,True,True,False,4.0,3.0,outdoor,none
18098902370511910,True,,False,False,False,5.0,4.0,studio,none
17900419836261134,True,,True,False,False,5.0,5.0,outdoor,none
18100310623988975,True,,True,True,False,5.0,1.0,studio,none
18102351589750700,True,,False,False,False,5.0,3.0,other,none
18105779768504036,True,,True,True,True,4.0,5.0,other,heavy
17932830432217002,True,,True,True,False,5.0,5.0,white,none
18073781783228419,True,,True,True,True,5.0,1.0,white,heavy
17972728997877172,True,,False,False,False,5.0,10.0,indoor,none
18088638374210217,True,,True,False,False,4.0,2.0,indoor,none
17920118514313663,True,,False,False,False,4.0,2.0,outdoor,none
18137230234459100,True,,False,False,True,5.0,2.0,white,few
17906890926379444,True,,True,True,True,5.0,4.0,studio,few
17953235202121178,True,,False,False,False,5.0,1.0,studio,none
18096938776875379,True,,True,False,False,5.0,1.0,outdoor,none
18421364383121400,True,,False,False,True,5.0,3.0,studio,few
17949461340136564,True,,False,False,False,5.0,1.0,studio,none
18074644028539212,True,,False,False,False,4.0,2.0,indoor,none
