instagram_account_id,instagram_media_uuid,posted_at,media_type_label,followers,follower_tier,reach_count,like_count,save_count,comment_count,engagement_count,save_rate_r,like_rate_r,reach_rate_flw,comment_rate_r,eg_rate_reach,quadrant,sub_category,img_local,color_ok,b_avg,g_avg,r_avg,saturation_avg,brightness_avg,gemini_ok,scene_type,has_person,person_style,room_type_hint,view_quality,time_of_day,luxury_score,has_text_overlay,text_content_type,visual_style,post_intent,error
7075621,18004309601856838,2026-03-31 11:05:46,CAROUSEL_ALBUM,6727,〜1万,1200,134,8,1,143,0.0066611157368859,0.1115736885928393,0.178359096313912,0.0008326394671107,0.1190674437968359,Q1,ホテル,True,True,144.22966666666665,137.43172222222222,143.7745138888889,55.94627777777778,156.52704166666666,True,activity,True,guest_lifestyle,none,mountain_view,daytime,3.0,True,feature_description,documentary_photo,experience_activity,
6444473,17944549155000356,2026-04-12 04:32:50,CAROUSEL_ALBUM,5900,〜1万,995,74,2,0,76,0.002008032128514,0.07429718875502,0.1686154889001864,0.0,0.0763052208835341,Q1,旅館,True,True,157.21344444444443,180.21417777777785,196.09472222222217,63.02971111111111,196.24024444444444,True,lobby_lounge,False,none,none,no_view,daytime,3.0,True,facility_name_logo,styled_editorial,experience_activity,
4866472,18027841703137016,2024-06-07 08:04:47,CAROUSEL_ALBUM,16196,1〜5万,2074,154,4,0,158,0.0019277108433734,0.0742168674698795,0.1280484040254368,0.0,0.076144578313253,Q1,その他,True,True,80.53230125523015,95.46245467224544,105.52308228730828,77.36776847977684,110.6144909344491,True,lobby_lounge,True,staff,none,no_view,unknown,4.0,False,none,close_up_detail,brand_worldview,
5485035,17958924905644622,2024-05-17 09:00:16,CAROUSEL_ALBUM,33621,1〜5万,5377,330,19,0,349,0.0035329118631461,0.0613611007809594,0.1599250490750104,0.0,0.0648940126441056,Q1,ホテル,True,True,204.6573869346734,208.7438693467337,210.53653266331665,38.04619765494137,221.2359798994975,True,restaurant_bar,True,guest_lifestyle,none,ocean_view,daytime,2.0,False,none,styled_editorial,food_dining,
5941001,17843660541309289,2024-09-20 12:00:34,CAROUSEL_ALBUM,1311,〜1万,529,113,1,0,114,0.0018867924528301,0.2132075471698113,0.4032012195121951,0.0,0.2150943396226415,Q1,ホテル,True,True,117.5232,152.04964444444448,179.64698888888898,96.70892222222224,181.15434444444443,True,food_drink,True,guest_lifestyle,none,no_view,daytime,4.0,False,none,close_up_detail,food_dining,
5485035,18005122730520501,2024-04-01 05:51:25,CAROUSEL_ALBUM,33621,1〜5万,11577,1735,100,0,1835,0.0086370703057522,0.1498531698048022,0.3443281184938433,0.0,0.1584902401105545,Q1,ホテル,True,True,152.2483666666667,155.13598888888893,123.7371666666667,120.56452222222222,176.9669,True,exterior_entrance,True,silhouette_distant,none,ocean_view,daytime,5.0,False,none,drone_aerial,view_scenery,
5515474,17885901780046903,2024-05-23 11:05:00,CAROUSEL_ALBUM,17176,1〜5万,1472,91,9,0,100,0.0061099796334012,0.0617786829599456,0.0856959888222623,0.0,0.0678886625933469,Q1,ホテル,True,True,90.1316,121.41437777777764,156.22494444444442,118.9071,156.6855888888889,True,activity,True,hand_detail,glamping_unique,no_view,daytime,3.0,True,feature_description,close_up_detail,experience_activity,
7048526,18102469070102214,2026-04-27 07:55:43,CAROUSEL_ALBUM,1927,〜1万,349,47,1,0,48,0.0028571428571428,0.1342857142857142,0.1810165975103734,0.0,0.1371428571428571,Q1,旅館,True,True,80.87586666666671,99.2297481481482,135.62238518518518,118.87355555555555,138.70514074074077,True,lobby_lounge,True,other,none,no_view,unknown,2.0,True,feature_description,close_up_detail,experience_activity,
6240462,17866063107501098,2025-11-19 11:30:56,CAROUSEL_ALBUM,5940,〜1万,1064,66,3,0,69,0.0028169014084507,0.0619718309859154,0.1790944285473825,0.0,0.0647887323943662,Q1,ホテル,True,True,87.2692916666667,96.33966666666672,150.2950833333333,135.66265277777777,151.54425,True,food_drink,False,none,none,none,unknown,5.0,True,season_event_announcement,styled_editorial,season_event,
5748216,18031849919023647,2024-09-13 08:06:01,CAROUSEL_ALBUM,8305,〜1万,14722,3004,121,548,3673,0.008218433743123,0.2040345038375331,1.7724536479653263,0.0372206751341438,0.2494736127147999,Q1,ホテル,True,True,164.02932222222222,166.57867777777773,173.68806666666654,56.26063333333333,184.54116666666667,True,other,False,none,none,mountain_view,daytime,4.0,True,season_event_announcement,styled_editorial,season_event,
